;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR;VALOR
CONTA;Custo de Bens e/ou Serviços Vendidos;Deduções da Receita Bruta;Despesas;Despesas Com Vendas;Despesas Financeiras;Despesas Gerais e Administrativas;Despesas Tributárias;Despesas da Intermediação Financeira;Despesas de Pessoal;Financeiras;IR Diferido;Lucro/Prejuízo do Período;Outras Despesas Administrativas;Outras Despesas Operacionais;Outras Despesas/Receitas Operacionais;Outras Receitas Operacionais;Part. de Acionistas Não Controladores;Participações/Contribuições Estatutárias;Perdas pela Não Recuperabilidade de Ativos ;Provisão para IR e Contribuição Social;Receita Bruta de Vendas e/ou Serviços;Receita Líquida de Vendas e/ou Serviços;Receitas;Receitas Financeiras;Receitas da Intermediação Financeira;Receitas de Prestação de Serviços;Resultado Antes Tributação/Participações;Resultado Bruto;Resultado Bruto Intermediação Financeira;Resultado Não Operacional;Resultado Operacional;Resultado da Equivalência Patrimonial;Reversão dos Juros sobre Capital Próprio
Unnamed: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;;;;;;;;814,726;;;;;;;;
1;;;;;;;;-662,264;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152,462;;;;
3;;;;;;;;;;;;;;;-28,155;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;;;;;83,697;;;;;;;
5;;;;;;;;;-53,46;;;;;;;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;-28,278;;;;;;;;;;;;;;;;;;;;
7;;;;;;;-16,255;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;-37,284;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;21,158;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,267;
11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124,307;;
12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8,127;;;
13;;;;;;;;;;;;;;;;;;;;;;;-13,887;;;;;;;;;;
14;;;42,656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;;;;;;;;;;;116,18;;;;;;
16;;;;;;;;;;;;;;;;;;;;27,27;;;;;;;;;;;;;
17;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;-32,845;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
20;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;110,605;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;;;;;372,964;;;;;;;;
23;;;;;;;;-178,605;;;;;;;;;;;;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;194,359;;;;
25;;;;;;;;;;;;;;;-12,163;;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;;;;;;;;;;;71,181;;;;;;;
27;;;;;;;;;-48,82;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;-25,633;;;;;;;;;;;;;;;;;;;;
29;;;;;;;-21,495;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;10,915;;;;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;-1,1;;;;;;;;;;;;;;;;;;;
32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,789;
33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182,196;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10,582;;;
35;;;;;;;;;;;;;;;;;;;;;;;9,784;;;;;;;;;;
36;;;-20,366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;;;;;;;171,614;;;;;;
38;;;;;;;;;;;;;;;;;;;;-35,01;;;;;;;;;;;;;
39;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;;;;;;;;;;;;;-32,47;;;;;;;;;;;;;;;
41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
42;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
43;;;;;;;;;;;;104,134;;;;;;;;;;;;;;;;;;;;;
44;;;;;;;;;;;;;;;;;;;;;;;;;737,823;;;;;;;;
45;;;;;;;;-647,028;;;;;;;;;;;;;;;;;;;;;;;;;
46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90,795;;;;
47;;;;;;;;;;;;;;;31,114;;;;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;;;;;;;;;;;;;75,695;;;;;;;
49;;;;;;;;;-51,21;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;;;;;;;;;;-26,683;;;;;;;;;;;;;;;;;;;;
51;;;;;;;-13,972;;;;;;;;;;;;;;;;;;;;;;;;;;
52;;;;;;;;;;;;;;;;48,584;;;;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;-4,363;;;;;;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,063;
55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121,909;;
56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10,493;;;
57;;;;;;;;;;;;;;;;;;;;;;;1,387;;;;;;;;;;
58;;;-11,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;;;;;;;;;;;;;;111,416;;;;;;
60;;;;;;;;;;;;;;;;;;;;25,197;;;;;;;;;;;;;
61;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
62;;;;;;;;;;;;;;;;;;-29,474;;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
64;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
65;;;;;;;;;;;;107,139;;;;;;;;;;;;;;;;;;;;;
66;;;;;;;;;;;;;;;;;;;;;;;;;575,226;;;;;;;;
67;;;;;;;;-373,082;;;;;;;;;;;;;;;;;;;;;;;;;
68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202,144;;;;
69;;;;;;;;;;;;;;;-37,519;;;;;;;;;;;;;;;;;;
